id,name,lat,lon
536,Juvisy,48.6894902,2.383019808
537,Savigny-sur-Orge,48.67644666,2.352481401
538,Longjumeau,48.70223939,2.294557746
539,Chilly-Mazarin,48.7006808,2.307841185
540,Gravigny-Balizy,48.68571363,2.317626404
541,Petit Vaux,48.67638132,2.333249463
542,Épinay-sur-Orge,48.66948373,2.332622929
543,Sainte-Geneviève-des-Bois,48.6528114,2.312736247
544,Saint-Michel-sur-Orge,48.63587587,2.306833164
545,Brétigny,48.60674495,2.302059692
546,La Norville - Saint-Germain-lès-Arpajon,48.59146082,2.266937971
547,Arpajon,48.58600789,2.241070078
548,Égly,48.5824856,2.222433312
549,Breuillet - Bruyères-le-Châtel,48.57750849,2.192063071
550,Breuillet-Village,48.56459703,2.170976268
551,Saint-Chéron,48.55109198,2.125707268
552,Sermaise,48.53580651,2.069381525
553,Dourdan,48.53373283,2.008771815
554,Dourdan - La Forêt,48.53562062,1.99590199
555,Marolles-en-Hurepoix,48.56559386,2.29092447
556,Bouray,48.5328901,2.290082514
557,Lardy,48.52040359,2.254739701
558,Chamarande,48.51424588,2.215517811
559,Étréchy,48.49364458,2.194581699
560,Étampes,48.43692394,2.159530588
561,Saint-Martin-d'Étampes,48.42736258,2.145246593
562,Creil,49.26394414,2.468914115
563,Chantilly - Gouvieux,49.18733354,2.459520081
564,Orry-la-Ville - Coye,49.13828638,2.490178985
565,La Borne Blanche,49.12678094,2.506143691
566,Survilliers - Fosses,49.09958694,2.525531714
567,Louvres,49.0493256,2.501758062
568,Les Noues,49.03318277,2.478033366
569,Goussainville,49.023162,2.462168962
570,Villiers-le-Bel - Gonesse - Arnouville,48.99377715,2.416187492
571,Garges - Sarcelles,48.97686859,2.390763933
572,Pierrefitte - Stains,48.96375543,2.372103134
573,Saint-Denis,48.93603061,2.345274685
574,Stade de France - Saint-Denis,48.91756717,2.350389538
575,Paris-Nord,48.88092201,2.356328544
576,Châtelet - Les Halles,48.86182227,2.347012689
577,Paris-Gare-de-Lyon,48.84413935,2.373259978
578,Maisons-Alfort - Alfortville,48.80204938,2.426482408
579,Le Vert de Maisons,48.7889149,2.432070117
580,Créteil-Pompadour,48.77126604,2.43530634
581,Villeneuve-Triage,48.74523081,2.438344241
582,Villeneuve-Saint-Georges,48.73011683,2.44613583
583,Montgeron - Crosne,48.70823783,2.462282242
584,Yerres,48.70661095,2.484245149
